frame,t_s,z_mean_m,z_min_m,z_max_m,z_std_m,n_nodes,n_all
146,1.460000e-01,6.4976653073e-03,-7.9122927729e-03,2.0434603256e-02,9.5424443735e-03,356,356
147,1.470000e-01,6.4699227554e-03,-7.9400353248e-03,2.0406860704e-02,9.5424443735e-03,356,356
148,1.480000e-01,6.4503986964e-03,-7.9595593838e-03,2.0387336645e-02,9.5424443735e-03,356,356
149,1.490000e-01,6.4390885746e-03,-7.9708695056e-03,2.0376026524e-02,9.5424443735e-03,356,356
150,1.500000e-01,6.4359842305e-03,-7.9739738497e-03,2.0372922179e-02,9.5424443735e-03,356,356
151,1.510000e-01,6.4410739101e-03,-7.9688841701e-03,2.0378011859e-02,9.5424443735e-03,356,356
152,1.520000e-01,6.4543422759e-03,-7.9556158043e-03,2.0391280225e-02,9.5424443735e-03,356,356
153,1.530000e-01,6.4757704192e-03,-7.9341876610e-03,2.0412708368e-02,9.5424443735e-03,356,356
154,1.540000e-01,6.5053358743e-03,-7.9046222059e-03,2.0442273823e-02,9.5424443735e-03,356,356
155,1.550000e-01,6.5430126340e-03,-7.8669454462e-03,2.0479950583e-02,9.5424443735e-03,356,356
156,1.560000e-01,6.5887711668e-03,-7.8211869134e-03,2.0525709116e-02,9.5424443735e-03,356,356
157,1.570000e-01,6.6425784351e-03,-7.7673796451e-03,2.0579516384e-02,9.5424443735e-03,356,356
158,1.580000e-01,6.7043979160e-03,-7.7055601642e-03,2.0641335865e-02,9.5424443735e-03,356,356
159,1.590000e-01,6.7741896222e-03,-7.6357684580e-03,2.0711127571e-02,9.5424443735e-03,356,356
160,1.600000e-01,6.8519101258e-03,-7.5580479544e-03,2.0788848075e-02,9.5424443735e-03,356,356
161,1.610000e-01,6.9375125824e-03,-7.4724454978e-03,2.0874450531e-02,9.5424443735e-03,356,356
162,1.620000e-01,7.0309467573e-03,-7.3790113229e-03,2.0967884706e-02,9.5424443735e-03,356,356
163,1.630000e-01,7.1321590532e-03,-7.2777990270e-03,2.1069097002e-02,9.5424443735e-03,356,356
164,1.640000e-01,7.2410925389e-03,-7.1688655413e-03,2.1178030488e-02,9.5424443735e-03,356,356
165,1.650000e-01,7.3576869797e-03,-7.0522711005e-03,2.1294624929e-02,9.5424443735e-03,356,356
166,1.660000e-01,7.4818788692e-03,-6.9280792110e-03,2.1418816818e-02,9.5424443735e-03,356,356
167,1.670000e-01,7.6136014624e-03,-6.7963566178e-03,2.1550539411e-02,9.5424443735e-03,356,356
168,1.680000e-01,7.7527848106e-03,-6.6571732697e-03,2.1689722759e-02,9.5424443735e-03,356,356
169,1.690000e-01,7.8993557963e-03,-6.5106022840e-03,2.1836293745e-02,9.5424443735e-03,356,356
170,1.700000e-01,8.0532381716e-03,-6.3567199087e-03,2.1990176120e-02,9.5424443735e-03,356,356
171,1.710000e-01,8.2143525960e-03,-6.1956054843e-03,2.2151290545e-02,9.5424443735e-03,356,356
172,1.720000e-01,8.3826166764e-03,-6.0273414039e-03,2.2319554625e-02,9.5424443735e-03,356,356
173,1.730000e-01,8.5579450083e-03,-5.8520130720e-03,2.2494882957e-02,9.5424443735e-03,356,356
174,1.740000e-01,8.7402492178e-03,-5.6697088625e-03,2.2677187167e-02,9.5424443735e-03,356,356
175,1.750000e-01,8.9294380058e-03,-5.4805200745e-03,2.2866375955e-02,9.5424443735e-03,356,356
176,1.760000e-01,9.1254171923e-03,-5.2845408880e-03,2.3062355141e-02,9.5424443735e-03,356,356
177,1.770000e-01,9.3280897625e-03,-5.0818683178e-03,2.3265027711e-02,9.5424443735e-03,356,356
178,1.780000e-01,9.5373559143e-03,-4.8726021660e-03,2.3474293863e-02,9.5424443735e-03,356,356
179,1.790000e-01,9.7531131063e-03,-4.6568449740e-03,2.3690051055e-02,9.5424443735e-03,356,356
180,1.800000e-01,9.9752561073e-03,-4.4347019730e-03,2.3912194056e-02,9.5424443735e-03,356,356
181,1.810000e-01,1.0203677047e-02,-4.2062810333e-03,2.4140614996e-02,9.5424443735e-03,356,356
182,1.820000e-01,1.0438265468e-02,-3.9716926127e-03,2.4375203416e-02,9.5424443735e-03,356,356
183,1.830000e-01,1.0678908376e-02,-3.7310497040e-03,2.4615846325e-02,9.5424443735e-03,356,356
184,1.840000e-01,1.0925490299e-02,-3.4844677808e-03,2.4862428248e-02,9.5424443735e-03,356,356
185,1.850000e-01,1.1177893337e-02,-3.2320647433e-03,2.5114831286e-02,9.5424443735e-03,356,356
186,1.860000e-01,1.1435997218e-02,-2.9739608624e-03,2.5372935167e-02,9.5424443735e-03,356,356
187,1.870000e-01,1.1699679358e-02,-2.7102787227e-03,2.5636617306e-02,9.5424443735e-03,356,356
188,1.880000e-01,1.1968814915e-02,-2.4411431657e-03,2.5905752863e-02,9.5424443735e-03,356,356
189,1.890000e-01,1.2243276850e-02,-2.1666812302e-03,2.6180214799e-02,9.5424443735e-03,356,356
190,1.900000e-01,1.2522935986e-02,-1.8870220941e-03,2.6459873935e-02,9.5424443735e-03,356,356
191,1.910000e-01,1.2807661067e-02,-1.6022970132e-03,2.6744599016e-02,9.5424443735e-03,356,356
192,1.920000e-01,1.3097318819e-02,-1.3126392610e-03,2.7034256768e-02,9.5424443735e-03,356,356
193,1.930000e-01,1.3391774014e-02,-1.0181840661e-03,2.7328711963e-02,9.5424443735e-03,356,356
194,1.940000e-01,1.3690889530e-02,-7.1906855040e-04,2.7627827479e-02,9.5424443735e-03,356,356
195,1.950000e-01,1.3994526415e-02,-4.1543166520e-04,2.7931464364e-02,9.5424443735e-03,356,356
196,1.960000e-01,1.4302543953e-02,-1.0741412720e-04,2.8239481902e-02,9.5424443735e-03,356,356
197,1.970000e-01,1.4614799726e-02,2.0484164550e-04,2.8551737675e-02,9.5424443735e-03,356,356
198,1.980000e-01,1.4931149680e-02,5.2119159960e-04,2.8868087629e-02,9.5424443735e-03,356,356
199,1.990000e-01,1.5251448192e-02,8.4149011210e-04,2.9188386141e-02,9.5424443735e-03,356,356
200,2.000000e-01,1.5575548137e-02,1.1655900568e-03,2.9512486086e-02,9.5424443735e-03,356,356
201,2.010000e-01,1.5903300952e-02,1.4933428716e-03,2.9840238901e-02,9.5424443735e-03,356,356
202,2.020000e-01,1.6234556706e-02,1.8245986259e-03,3.0171494655e-02,9.5424443735e-03,356,356
203,2.030000e-01,1.6569164169e-02,2.1592060889e-03,3.0506102118e-02,9.5424443735e-03,356,356
204,2.040000e-01,1.6906970878e-02,2.4970127978e-03,3.0843908827e-02,9.5424443735e-03,356,356
205,2.050000e-01,1.7247823208e-02,2.8378651274e-03,3.1184761157e-02,9.5424443735e-03,356,356
206,2.060000e-01,1.7591566439e-02,3.1816083589e-03,3.1528504388e-02,9.5424443735e-03,356,356
207,2.070000e-01,1.7938044830e-02,3.5280867501e-03,3.1874982779e-02,9.5424443735e-03,356,356
